Row,DorsAtt,FPN,Default,Visual,Limbic,SomMot,Salience
L_6a_ROI,0.8,0.119444444444444,0,0,0,0.0805555555555556,0
L_i6_8_ROI,0.104651162790698,0.848837209302326,0.0465116279069767,0,0,0,0
L_s6_8_ROI,0,0.6,0.4,0,0,0,0
L_43_ROI,0,0,0,0,0,0.595238095238095,0.404761904761905
L_OP4_ROI,0,0,0,0,0,0.858490566037736,0.141509433962264
L_OP1_ROI,0,0,0,0,0,0.925925925925926,0.0740740740740741
L_OP2_3_ROI,0,0,0,0,0,1,0
L_52_ROI,0,0,0,0,0,0.819444444444444,0.180555555555556
L_RI_ROI,0,0,0,0,0,1,0
L_PFcm_ROI,0,0,0,0,0,0.206106870229008,0.793893129770992
L_PoI2_ROI,0,0,0,0,0,0.372670807453416,0.627329192546584
L_TA2_ROI,0,0,0,0,0.0563380281690141,0.802816901408451,0.140845070422535
L_FOP4_ROI,0,0,0,0,0,0,1
L_MI_ROI,0,0,0,0,0,0.0170940170940171,0.982905982905983
L_Pir_ROI,0,0,0,0,0.370967741935484,0,0.112903225806452
L_AVI_ROI,0,0.777777777777778,0,0,0,0,0.222222222222222
L_AAIC_ROI,0,0.131578947368421,0.171052631578947,0,0.0131578947368421,0,0.486842105263158
L_FOP1_ROI,0,0,0,0,0,0.14,0.86
L_FOP3_ROI,0,0,0,0,0,0.0238095238095238,0.976190476190476
L_FOP2_ROI,0,0,0,0,0,0.769230769230769,0.230769230769231
L_PFt_ROI,0.882051282051282,0,0,0,0,0.117948717948718,0
L_AIP_ROI,1,0,0,0,0,0,0
L_EC_ROI,0,0,0,0,0.941860465116279,0,0
L_PreS_ROI,0,0,0.264150943396226,0.452830188679245,0.0566037735849057,0,0
L_H_ROI,0,0,0.0214592274678112,0.0257510729613734,0.0429184549356223,0,0
L_ProS_ROI,0,0,0,1,0,0,0
L_PeEc_ROI,0,0,0,0,1,0,0
L_STGa_ROI,0,0,0.526315789473684,0,0.403508771929825,0.0701754385964912,0
L_PBelt_ROI,0,0,0,0,0,1,0
L_A5_ROI,0,0,0.108695652173913,0,0,0.891304347826087,0
L_PHA1_ROI,0,0,0.175925925925926,0.648148148148148,0.175925925925926,0,0
L_PHA3_ROI,0,0,0,0.716666666666667,0.283333333333333,0,0
L_STSda_ROI,0,0,0.967479674796748,0,0,0.032520325203252,0
L_STSdp_ROI,0,0,0.703517587939699,0,0,0.296482412060302,0
L_STSvp_ROI,0,0,1,0,0,0,0
L_TGd_ROI,0,0,0.0956937799043062,0,0.901913875598086,0,0.00239234449760766
L_TE1a_ROI,0,0,0.983870967741935,0,0.0161290322580645,0,0
L_TE1p_ROI,0.0420168067226891,0.613445378151261,0.34453781512605,0,0,0,0
L_TE2a_ROI,0,0.0711462450592885,0.260869565217391,0,0.66798418972332,0,0
L_TF_ROI,0,0,0,0.0101351351351351,0.989864864864865,0,0
L_TE2p_ROI,0.504,0.04,0,0,0.456,0,0
L_PHT_ROI,0.21978021978022,0.521978021978022,0.214285714285714,0,0,0,0.043956043956044
L_PH_ROI,0.733333333333333,0.00888888888888889,0,0.257777777777778,0,0,0
L_TPOJ1_ROI,0,0,0.110497237569061,0,0,0.43646408839779,0.453038674033149
L_TPOJ2_ROI,0.442307692307692,0,0.243589743589744,0,0,0,0.314102564102564
L_TPOJ3_ROI,0.630952380952381,0,0.0714285714285714,0.297619047619048,0,0,0
L_DVT_ROI,0.0465116279069767,0,0,0.953488372093023,0,0,0
L_PGp_ROI,0.530612244897959,0.0136054421768707,0,0.45578231292517,0,0,0
L_IP2_ROI,0.196969696969697,0.803030303030303,0,0,0,0,0
L_IP1_ROI,0.28042328042328,0.71957671957672,0,0,0,0,0
L_IP0_ROI,0.62037037037037,0.00925925925925926,0,0.37037037037037,0,0,0
